text,label
"The Federal Reserve announced today that interest rates will remain unchanged for the third consecutive quarter, citing stable economic indicators and moderate inflation levels.",0
Scientists at Stanford University have published new research in Nature journal showing promising results in early-stage Alzheimer's treatment trials.,0
The Department of Education released its annual report showing a 3% increase in high school graduation rates across all demographic groups nationwide.,0
"Local weather services predict partly cloudy skies with temperatures reaching 75°F this weekend, with a slight chance of rain on Sunday evening.",0
"The technology sector showed mixed results in quarterly earnings, with cloud computing companies outperforming traditional hardware manufacturers.",0
"City council approved the new public transportation budget, allocating $50 million for bus route expansion and infrastructure improvements.",0
University researchers have developed a new water purification system that could help provide clean drinking water in developing countries.,0
"The annual charity marathon raised $2.3 million for local homeless shelters, exceeding last year's total by 15 percent.",0
Agricultural experts report that this year's harvest season is proceeding normally despite earlier concerns about drought conditions.,0
"The new renewable energy plant is expected to power 100,000 homes when it becomes operational next spring.",0
"BREAKING: Government officials confirm that aliens have been living among us for decades, secret documents reveal shocking truth!",1
This one weird trick discovered by a mom will make you lose 50 pounds in just 2 weeks - doctors hate her!,1
URGENT: New study proves that drinking coffee backwards can cure cancer - big pharma doesn't want you to know!,1
SHOCKING: Local teacher becomes millionaire overnight using this simple investment strategy - banks are furious!,1
You won't believe what this celebrity looked like before becoming famous - the transformation will shock you!,1
"EXPOSED: The government has been adding mind control chemicals to tap water for years, leaked documents confirm!",1
"This miracle fruit burns fat while you sleep - lose 30 pounds without diet or exercise, guaranteed results!",1
"BREAKING: Time traveler from 2087 warns about upcoming disasters, provides detailed predictions for next decade!",1
Scientists discover that eating this common food can extend your life by 50 years - the secret will amaze you!,1
ALERT: Popular smartphone apps are secretly recording everything you say and selling it to foreign governments!,1
